[5/31/23, 17:42:05] Хабиб Вентиляция : ‎Сообщения и звонки защищены сквозным шифрованием. Прочитать, прослушать или переслать их могут только участники этого чата.
[5/31/23, 17:42:05] Хабиб Вентиляция : ‎‎‎Хабиб Вентиляция  использует автоматический таймер для исчезающих сообщений в новых чатах. ‎Новые несохраненные сообщения исчезнут из этого чата через ‎24 часа после отправки. ‎Нажмите, чтобы установить свой автоматический таймер.
[6/9/23, 14:12:06] Хабиб Вентиляция : ‎‎Хабиб Вентиляция  отключил(-а) исчезающие сообщения. ‎Нажмите, чтобы изменить.
[6/9/23, 14:13:53] investklimat: Валейкум Ассалам
[4/28/24, 16:20:13] investklimat: ‎Вы удалили данное сообщение.
[4/28/24, 16:36:16] Хабиб Вентиляция : Хорошо
[4/28/24, 16:38:09] Хабиб Вентиляция : На счёт плитки
[4/28/24, 16:38:15] Хабиб Вентиляция : С утра приедут
‎[4/28/24, 16:42:51] investklimat: ‎<прикреплено: 00006437-AUDIO-2024-04-28-16-42-50.opus>
[4/28/24, 16:50:04] Хабиб Вентиляция : 3 зонта тут
[4/28/24, 16:50:14] Хабиб Вентиляция : И один большой там
‎[4/28/24, 16:51:28] investklimat: ‎<прикреплено: 00006440-AUDIO-2024-04-28-16-51-27.opus>
‎[4/28/24, 17:13:48] investklimat: ‎<прикреплено: 00006441-AUDIO-2024-04-28-17-13-47.opus>
[4/28/24, 17:46:52] Хабиб Вентиляция : Все 3 зонта согнули
‎[4/28/24, 17:48:59] investklimat: ‎<прикреплено: 00006446-AUDIO-2024-04-28-17-48-58.opus>
‎[4/28/24, 18:00:06] Хабиб Вентиляция : ‎<прикреплено: 00006450-VIDEO-2024-04-28-18-00-06.mp4>
‎[4/28/24, 18:24:31] Хабиб Вентиляция : ‎<прикреплено: 00006451-PHOTO-2024-04-28-18-24-31.jpg>
‎[4/28/24, 18:26:20] investklimat: ‎<прикреплено: 00006452-AUDIO-2024-04-28-18-26-19.opus>
‎[4/28/24, 18:59:37] Хабиб Вентиляция : ‎изображение отсутствует
‎[4/28/24, 19:50:47] Хабиб Вентиляция : ‎<прикреплено: 00006454-PHOTO-2024-04-28-19-50-47.jpg>
[4/28/24, 19:51:18] Хабиб Вентиляция : Жалуются
‎[4/28/24, 19:53:54] investklimat: ‎<прикреплено: 00006456-AUDIO-2024-04-28-19-53-53.opus>
‎[4/28/24, 19:55:03] Хабиб Вентиляция : ‎<прикреплено: 00006458-AUDIO-2024-04-28-19-55-03.opus>
[4/28/24, 20:33:03] Хабиб Вентиляция : В марша установить решетки
‎[4/28/24, 20:54:38] investklimat: ‎<прикреплено: 00006461-AUDIO-2024-04-28-20-54-37.opus>
‎[4/28/24, 21:10:25] Хабиб Вентиляция : ‎<прикреплено: 00006462-AUDIO-2024-04-28-21-10-25.opus>
[4/28/24, 21:18:24] investklimat: Не, там заходить нельзя даже. Там решетки тоже красить надо будет ток потом ставить
[4/28/24, 21:18:45] investklimat: Говорит пока нет
‎[4/29/24, 09:25:37] investklimat: ‎аудиофайл отсутствует
‎[4/29/24, 09:28:00] Хабиб Вентиляция : ‎<прикреплено: 00006466-AUDIO-2024-04-29-09-28-00.opus>
‎[4/29/24, 09:30:10] Хабиб Вентиляция : ‎<прикреплено: 00006467-PHOTO-2024-04-29-09-30-10.jpg>
[4/29/24, 09:32:49] investklimat: Ваалейкум Ассалам!
‎[4/29/24, 09:36:53] investklimat: ‎<прикреплено: 00006469-AUDIO-2024-04-29-09-36-52.opus>
‎[4/29/24, 09:37:51] Хабиб Вентиляция : ‎<прикреплено: 00006470-AUDIO-2024-04-29-09-37-51.opus>
‎[4/29/24, 09:39:28] investklimat: ‎<прикреплено: 00006471-AUDIO-2024-04-29-09-39-27.opus>
‎[4/29/24, 09:40:14] Хабиб Вентиляция : ‎<прикреплено: 00006472-AUDIO-2024-04-29-09-40-14.opus>
‎[4/29/24, 09:40:48] Хабиб Вентиляция : ‎<прикреплено: 00006473-PHOTO-2024-04-29-09-40-48.jpg>
‎[4/29/24, 09:41:35] investklimat: ‎<прикреплено: 00006474-AUDIO-2024-04-29-09-41-34.opus>
‎[4/29/24, 11:08:32] Хабиб Вентиляция : ‎<прикреплено: 00006475-PHOTO-2024-04-29-11-08-32.jpg>
[4/29/24, 11:10:30] investklimat: 👍
[4/29/24, 11:11:46] Хабиб Вентиляция : Что делать?
[4/29/24, 11:12:01] Хабиб Вентиляция : Дифузоры тоже поставил
‎[4/29/24, 11:12:30] investklimat: ‎<прикреплено: 00006480-AUDIO-2024-04-29-11-12-29.opus>
[4/29/24, 11:13:02] investklimat: От там вроде
[4/29/24, 11:13:58] Хабиб Вентиляция : Билал
[4/29/24, 11:14:03] Хабиб Вентиляция : Набери
[4/29/24, 11:14:10] Хабиб Вентиляция : Ему скажи брат
[4/29/24, 11:21:44] Хабиб Вентиляция : 100
‎[4/29/24, 11:22:20] Хабиб Вентиляция : 200 ‎<прикреплено: 00006486-PHOTO-2024-04-29-11-22-20.jpg>
‎[4/29/24, 11:23:01] Хабиб Вентиляция : ‎<прикреплено: 00006487-PHOTO-2024-04-29-11-23-01.jpg>
[4/29/24, 11:23:17] Хабиб Вентиляция : Тут трубу поставили вчера его опять снять
‎[4/29/24, 11:24:41] investklimat: ‎<прикреплено: 00006490-AUDIO-2024-04-29-11-24-40.opus>
‎[4/29/24, 11:26:11] Хабиб Вентиляция : ‎<прикреплено: 00006491-AUDIO-2024-04-29-11-26-11.opus>
‎[4/29/24, 11:27:32] investklimat: ‎<прикреплено: 00006492-AUDIO-2024-04-29-11-27-32.opus>
‎[4/29/24, 11:30:19] investklimat: ‎<прикреплено: 00006493-AUDIO-2024-04-29-11-30-18.opus>
‎[4/29/24, 11:32:00] Хабиб Вентиляция : ‎<прикреплено: 00006494-PHOTO-2024-04-29-11-32-00.jpg>
[4/29/24, 11:32:06] Хабиб Вентиляция : Хорошо
‎[4/29/24, 12:09:54] investklimat: ‎<прикреплено: 00006496-AUDIO-2024-04-29-12-09-53.opus>
‎[4/29/24, 12:11:29] Хабиб Вентиляция : ‎<прикреплено: 00006497-AUDIO-2024-04-29-12-11-29.opus>
[4/29/24, 17:47:47] Хабиб Вентиляция : Только начали
‎[4/29/24, 18:42:55] Хабиб Вентиляция : ‎<прикреплено: 00006499-PHOTO-2024-04-29-18-42-55.jpg>
[4/29/24, 19:00:03] Хабиб Вентиляция : Один остаося
[4/29/24, 20:33:20] Хабиб Вентиляция : Все
‎[4/29/24, 20:33:48] Хабиб Вентиляция : ‎<прикреплено: 00006502-PHOTO-2024-04-29-20-33-48.jpg>
‎[4/29/24, 20:35:14] investklimat: ‎<прикреплено: 00006503-AUDIO-2024-04-29-20-35-13.opus>
[4/29/24, 20:40:00] Хабиб Вентиляция : Да
‎[4/29/24, 20:41:15] investklimat: ‎<прикреплено: 00006505-AUDIO-2024-04-29-20-41-14.opus>
[4/29/24, 21:01:12] Хабиб Вентиляция : 1000
[4/29/24, 21:36:17] Хабиб Вентиляция : Много?
[4/29/24, 21:36:28] investklimat: нет
[4/29/24, 21:36:34] investklimat: норм
[4/29/24, 21:36:42] investklimat: вы уже уехали?
[4/29/24, 21:37:31] Хабиб Вентиляция : Да
[4/29/24, 21:37:34] Хабиб Вентиляция : Что там?
[4/29/24, 21:37:55] Хабиб Вентиляция : Что то случилось?
[4/29/24, 21:38:12] investklimat: Просто спрашиваю
[4/29/24, 21:38:29] Хабиб Вентиляция : Только выехали брат
[4/29/24, 21:38:38] investklimat: Понял
‎[4/29/24, 21:46:39] investklimat: Монтаж ДОП Работы 2.pdf • ‎1 страница ‎<прикреплено: 00006517-Монтаж ДОП Работы 2.pdf>
[4/29/24, 21:49:14] Хабиб Вентиляция : Демонтаж 1500?
[4/29/24, 21:51:13] investklimat: 2000?
[4/29/24, 21:51:17] investklimat: норм?
[4/29/24, 21:51:50] Хабиб Вентиляция : Да
‎[4/29/24, 21:52:05] investklimat: ‎<прикреплено: 00006522-AUDIO-2024-04-29-21-52-05.opus>
[4/29/24, 21:52:06] Хабиб Вентиляция : Сам смотри брат
[4/29/24, 22:04:52] Хабиб Вентиляция : Баркала брат
[4/29/24, 22:05:35] investklimat: И вам! 🤝
‎[5/1/24, 11:56:06] Хабиб Вентиляция : ‎<прикреплено: 00006526-PHOTO-2024-05-01-11-56-06.jpg>
[5/1/24, 12:30:46] investklimat: 😁✊
[5/1/24, 12:42:02] Хабиб Вентиляция : Ассаламу алайкум
[5/1/24, 12:42:11] Хабиб Вентиляция : Работа молчит ?
[5/1/24, 12:52:12] investklimat: Ваалейкум Ассалам
[5/1/24, 12:52:28] investklimat: Сегодня по ходу отдыхают все
[5/1/24, 12:53:05] investklimat: Завтра по поводу дымоудаления узнаю
[5/1/24, 12:53:44] investklimat: Вентиляторы если приехали, то можно делать монтаж
[5/1/24, 12:53:59] investklimat: Воздуховоды давно готовы, в цеху лежат
[5/1/24, 15:06:44] Хабиб Вентиляция : Вчера ездил машину смотреть
[5/1/24, 15:06:49] Хабиб Вентиляция : Вроде не плохая
[5/2/24, 14:56:48] Хабиб Вентиляция : Ассаламу алайкум брат
[5/2/24, 14:56:51] Хабиб Вентиляция : Есть новости?
‎[5/2/24, 14:58:41] investklimat: ‎<прикреплено: 00006540-AUDIO-2024-05-02-14-58-40.opus>
[5/2/24, 14:59:43] Хабиб Вентиляция : Проект есть наверно
[5/2/24, 14:59:49] investklimat: Да
[5/2/24, 14:59:52] investklimat: Скину
[5/2/24, 15:00:11] Хабиб Вентиляция : Хорошо брат
[5/2/24, 23:46:17] Хабиб Вентиляция : Мага я в ессентуки поехал на соревнования
[5/2/24, 23:46:27] Хабиб Вентиляция : Завтра вечером буду
[5/2/24, 23:47:13] Хабиб Вентиляция : Не в обиду что поздно
‎[5/3/24, 14:23:31] Хабиб Вентиляция : ‎изображение отсутствует
‎[5/3/24, 14:23:32] Хабиб Вентиляция : ‎изображение отсутствует
‎[5/3/24, 14:23:32] Хабиб Вентиляция : ‎изображение отсутствует
‎[5/3/24, 14:23:32] Хабиб Вентиляция : ‎аудиофайл отсутствует
[5/3/24, 14:23:36] Хабиб Вентиляция : Ассаламу алайкум брат
[5/3/24, 14:26:13] Хабиб Вентиляция : Искрагаситель зонт нужно заказать
[5/3/24, 14:35:06] investklimat: Ваалейкум ассалам
‎[5/3/24, 14:35:40] investklimat: ‎<прикреплено: 00006555-AUDIO-2024-05-03-14-35-39.opus>
‎[5/3/24, 14:54:06] Хабиб Вентиляция : ‎<прикреплено: 00006556-AUDIO-2024-05-03-14-54-06.opus>
‎[5/3/24, 14:54:06] Хабиб Вентиляция : ‎<прикреплено: 00006557-AUDIO-2024-05-03-14-54-06.opus>
[5/3/24, 14:54:21] Хабиб Вентиляция : С работой в месте по читать
[5/3/24, 14:54:29] Хабиб Вентиляция : Там мотор не нужно
[5/3/24, 14:54:33] Хабиб Вентиляция : Естественный
[5/4/24, 17:33:01] Хабиб Вентиляция : Ассаламу алайкум брат
[5/4/24, 17:33:05] Хабиб Вентиляция : Я выехал
[5/4/24, 17:33:11] Хабиб Вентиляция : Завтра с утра выйду на работу
[5/4/24, 17:36:17] investklimat: Ваалейкум Ассалам
[5/4/24, 17:36:38] investklimat: Хорошо, Хабиб
[5/4/24, 17:37:24] Хабиб Вентиляция : Можно же работать?
[5/4/24, 17:38:31] investklimat: Да
[5/4/24, 17:38:48] Хабиб Вентиляция : Проект забыл наверное
[5/4/24, 17:39:17] investklimat: Да
[5/4/24, 17:39:20] investklimat: Забыл
[5/4/24, 17:39:31] investklimat: Скину сегодня
[5/4/24, 19:15:51] Хабиб Вентиляция : На счёт денег как брат
[5/4/24, 19:15:58] Хабиб Вентиляция : Аванс хотел
[5/4/24, 19:16:05] Хабиб Вентиляция : 10т
[5/4/24, 19:17:03] investklimat: Сейчас скину, Хабиб
[5/4/24, 19:21:50] Хабиб Вентиляция : От души брат
[5/4/24, 19:22:17] investklimat: ✊
‎[5/5/24, 00:33:18] investklimat: Спецификация. Аристократ.pdf • ‎1 страница ‎<прикреплено: 00006578-Спецификация. Аристократ.pdf>
‎[5/5/24, 00:33:18] investklimat: Проект дымоудаление. ЖК. Аристократ.pdf • ‎6 страниц ‎<прикреплено: 00006579-Проект дымоудаление. ЖК. Аристократ.pdf>
[5/5/24, 09:25:04] Хабиб Вентиляция : Ассаламу алайкум
[5/5/24, 09:25:16] Хабиб Вентиляция : Адресс какой там
[5/5/24, 09:25:34] Хабиб Вентиляция : Где мечеть агасиева говорил
[5/5/24, 09:26:53] investklimat: Ваалейкум Ассалам
[5/5/24, 09:27:45] investklimat: жилой комплекс Аристократ
микрорайон Животноводов, Махачкала, Республика Дагестан
https://yandex.ru/maps/-/CHRuvkd
[5/5/24, 09:28:14] investklimat: Маковая улица, 2к5
‎[5/5/24, 09:29:37] investklimat: ‎<прикреплено: 00006586-AUDIO-2024-05-05-09-29-36.opus>
[5/5/24, 09:30:38] Хабиб Вентиляция : Хорошо брат
‎[5/5/24, 12:49:27] Хабиб Вентиляция : ‎<прикреплено: 00006588-AUDIO-2024-05-05-12-49-27.opus>
‎[5/5/24, 14:13:51] investklimat: ‎<прикреплено: 00006589-AUDIO-2024-05-05-14-13-50.opus>
‎[5/5/24, 14:14:40] investklimat: ‎<прикреплено: 00006590-AUDIO-2024-05-05-14-14-39.opus>
[5/5/24, 14:16:55] Хабиб Вентиляция : Я тут брат
[5/5/24, 14:17:12] investklimat: На объекте?
‎[5/5/24, 14:20:06] investklimat: ‎<прикреплено: 00006594-AUDIO-2024-05-05-14-20-05.opus>
‎[5/5/24, 14:23:44] Хабиб Вентиляция : ‎<прикреплено: 00006595-PHOTO-2024-05-05-14-23-44.jpg>
[5/5/24, 14:23:47] Хабиб Вентиляция : Эти же наши?
[5/5/24, 14:24:00] investklimat: Да
‎[5/5/24, 14:24:21] investklimat: ‎<прикреплено: 00006598-AUDIO-2024-05-05-14-24-20.opus>
‎[5/5/24, 14:24:47] Хабиб Вентиляция : ‎<прикреплено: 00006599-AUDIO-2024-05-05-14-24-47.opus>
[5/5/24, 14:25:46] investklimat: Хорошо
[5/6/24, 10:36:14] Хабиб Вентиляция : Ассаламу алайкум
‎[5/6/24, 10:38:27] investklimat: ‎<прикреплено: 00006602-AUDIO-2024-05-06-10-38-26.opus>
[5/6/24, 10:38:51] Хабиб Вентиляция : Хорошо
‎[5/6/24, 10:40:05] investklimat: ‎<прикреплено: 00006604-AUDIO-2024-05-06-10-40-04.opus>
‎[5/6/24, 11:27:47] investklimat: ‎<прикреплено: 00006606-AUDIO-2024-05-06-11-27-46.opus>
[5/6/24, 11:28:09] Хабиб Вентиляция : На ирчи
‎[5/6/24, 11:29:12] investklimat: ‎<прикреплено: 00006608-AUDIO-2024-05-06-11-29-11.opus>
[5/6/24, 11:31:50] Хабиб Вентиляция : Да
[5/6/24, 11:39:56] Хабиб Вентиляция : Где этажи буду
‎[5/6/24, 11:50:41] Хабиб Вентиляция : ‎<прикреплено: 00006611-AUDIO-2024-05-06-11-50-41.opus>
‎[5/6/24, 11:51:10] investklimat: ‎<прикреплено: 00006612-AUDIO-2024-05-06-11-51-09.opus>
‎[5/6/24, 11:51:33] investklimat: ‎<прикреплено: 00006613-AUDIO-2024-05-06-11-51-32.opus>
[5/6/24, 11:51:45] Хабиб Вентиляция : Да
[5/6/24, 14:32:20] investklimat: +7 928 060-99-00
‎[5/6/24, 15:28:15] Хабиб Вентиляция : ‎<прикреплено: 00006617-AUDIO-2024-05-06-15-28-15.opus>
[5/6/24, 15:41:03] investklimat: Как хочешь
[5/7/24, 10:41:30] Хабиб Вентиляция : ‎Аудиозвонок, ‎1 мин.
‎[5/7/24, 11:27:42] investklimat: ‎<прикреплено: 00006620-AUDIO-2024-05-07-11-27-42.opus>
‎[5/7/24, 11:30:26] Хабиб Вентиляция : ‎<прикреплено: 00006621-PHOTO-2024-05-07-11-30-26.jpg>
[5/7/24, 11:30:27] Хабиб Вентиляция : Такие
[5/7/24, 11:30:28] Хабиб Вентиляция : Оба
[5/7/24, 11:30:37] Хабиб Вентиляция : Ва алайкум ассалам
‎[5/7/24, 11:31:03] investklimat: ‎<прикреплено: 00006625-AUDIO-2024-05-07-11-31-02.opus>
‎[5/7/24, 11:31:54] Хабиб Вентиляция : ‎<прикреплено: 00006626-AUDIO-2024-05-07-11-31-54.opus>
‎[5/7/24, 11:33:53] Хабиб Вентиляция : ‎<прикреплено: 00006627-AUDIO-2024-05-07-11-33-53.opus>
[5/7/24, 11:34:45] investklimat: Сейчас прорабу наберу
[5/7/24, 11:36:43] investklimat: +7 (988) 785-00-69 Абдулла прораб
‎[5/7/24, 11:37:00] investklimat: ‎<прикреплено: 00006630-AUDIO-2024-05-07-11-36-59.opus>
‎[5/7/24, 12:37:36] investklimat: ‎<прикреплено: 00006632-AUDIO-2024-05-07-12-37-35.opus>
‎[5/7/24, 12:45:53] Хабиб Вентиляция : ‎<прикреплено: 00006633-AUDIO-2024-05-07-12-45-53.opus>
‎[5/7/24, 12:46:11] Хабиб Вентиляция : ‎<прикреплено: 00006634-PHOTO-2024-05-07-12-46-11.jpg>
‎[5/7/24, 12:46:16] Хабиб Вентиляция : ‎<прикреплено: 00006635-PHOTO-2024-05-07-12-46-16.jpg>
‎[5/7/24, 12:46:30] Хабиб Вентиляция : ‎<прикреплено: 00006636-AUDIO-2024-05-07-12-46-30.opus>
‎[5/7/24, 12:46:54] investklimat: ‎<прикреплено: 00006637-AUDIO-2024-05-07-12-46-53.opus>
‎[5/7/24, 12:48:11] investklimat: ‎<прикреплено: 00006638-AUDIO-2024-05-07-12-48-10.opus>
‎[5/7/24, 12:51:37] Хабиб Вентиляция : ‎<прикреплено: 00006639-AUDIO-2024-05-07-12-51-37.opus>
‎[5/7/24, 13:08:03] Хабиб Вентиляция : ‎<прикреплено: 00006640-AUDIO-2024-05-07-13-08-03.opus>
[5/7/24, 13:10:44] investklimat: Какие?
‎[5/7/24, 13:11:10] Хабиб Вентиляция : ‎<прикреплено: 00006642-AUDIO-2024-05-07-13-11-10.opus>
[5/7/24, 13:24:41] Хабиб Вентиляция : Сегодня же сделает он
[5/7/24, 13:24:47] Хабиб Вентиляция : Эти веши
[5/7/24, 13:25:04] investklimat: Да
[5/7/24, 13:25:41] investklimat: Пришёл человек с перфоратором?
[5/7/24, 13:25:52] Хабиб Вентиляция : Мы на обед пришли
[5/7/24, 13:25:56] Хабиб Вентиляция : Ни кого не было
[5/7/24, 14:31:39] investklimat: Перепутали походу
[5/7/24, 14:32:19] Хабиб Вентиляция : ?
‎[5/7/24, 14:32:37] investklimat: ‎<прикреплено: 00006652-AUDIO-2024-05-07-14-32-36.opus>
‎[5/7/24, 15:40:22] Хабиб Вентиляция : ‎<прикреплено: 00006653-AUDIO-2024-05-07-15-40-22.opus>
‎[5/7/24, 15:49:18] investklimat: ‎<прикреплено: 00006654-AUDIO-2024-05-07-15-49-17.opus>
‎[5/7/24, 15:54:45] investklimat: ‎<прикреплено: 00006655-AUDIO-2024-05-07-15-54-44.opus>
‎[5/7/24, 15:56:12] Хабиб Вентиляция : ‎<прикреплено: 00006656-AUDIO-2024-05-07-15-56-12.opus>
‎[5/7/24, 15:57:00] Хабиб Вентиляция : ‎<прикреплено: 00006657-AUDIO-2024-05-07-15-57-00.opus>
‎[5/7/24, 15:58:37] investklimat: ‎<прикреплено: 00006658-AUDIO-2024-05-07-15-58-36.opus>
‎[5/7/24, 16:00:24] investklimat: ‎<прикреплено: 00006659-AUDIO-2024-05-07-16-00-23.opus>
‎[5/7/24, 16:01:53] Хабиб Вентиляция : ‎<прикреплено: 00006660-AUDIO-2024-05-07-16-01-53.opus>
[5/7/24, 16:12:46] investklimat: Патрубки не привёз обратно?
[5/7/24, 16:13:07] investklimat: Радислама водитель
[5/7/24, 16:13:27] Хабиб Вентиляция : Не
[5/7/24, 16:13:36] Хабиб Вентиляция : Звонил он мне
‎[5/7/24, 17:00:45] Хабиб Вентиляция : ‎<прикреплено: 00006665-AUDIO-2024-05-07-17-00-45.opus>
[5/7/24, 17:03:46] investklimat: Понял, Хабиб.
[5/7/24, 17:13:58] investklimat: Эти патрубки говорит везу
[5/7/24, 17:14:16] investklimat: Звонил он?
[5/7/24, 17:14:21] investklimat: Водитель
‎[5/7/24, 17:14:45] Хабиб Вентиляция : ‎<прикреплено: 00006670-AUDIO-2024-05-07-17-14-45.opus>
[5/7/24, 17:28:11] Хабиб Вентиляция : Аванс нужен брат
[5/7/24, 17:32:57] investklimat: сколько?
[5/7/24, 17:33:53] Хабиб Вентиляция : 20т если получится
[5/7/24, 17:34:58] investklimat: сейчас скину
‎[5/7/24, 17:47:34] Хабиб Вентиляция : ‎<прикреплено: 00006675-AUDIO-2024-05-07-17-47-34.opus>
[5/8/24, 09:44:28] Хабиб Вентиляция : Ассаламу алайкум брат
[5/8/24, 09:44:33] Хабиб Вентиляция : Света нет на стройке
‎[5/8/24, 09:45:23] investklimat: ‎<прикреплено: 00006678-AUDIO-2024-05-08-09-45-22.opus>
[5/8/24, 09:45:33] Хабиб Вентиляция : Час ждём тут
[5/8/24, 09:46:10] Хабиб Вентиляция : Ни чего страшного начало всегда так бывает
[5/8/24, 09:46:18] Хабиб Вентиляция : И префератор нужен скажи
[5/8/24, 09:46:25] Хабиб Вентиляция : Как свет дадут начнём
[5/8/24, 09:46:42] investklimat: Привезли патрубки?
[5/8/24, 09:46:56] Хабиб Вентиляция : Вчера ешеи
[5/8/24, 09:47:38] investklimat: +7 (988) 785-00-69 Абдулла прораб
‎[5/8/24, 09:47:53] Хабиб Вентиляция : ‎<прикреплено: 00006686-AUDIO-2024-05-08-09-47-53.opus>
‎[5/8/24, 09:47:55] investklimat: ‎<прикреплено: 00006687-AUDIO-2024-05-08-09-47-54.opus>
[5/8/24, 09:49:51] Хабиб Вентиляция : ‎Данное сообщение удалено.
[5/8/24, 10:06:04] Хабиб Вентиляция : Его тоже не нашёл
[5/8/24, 10:06:09] Хабиб Вентиляция : Префаратор
‎[5/8/24, 10:20:20] Хабиб Вентиляция : ‎<прикреплено: 00006691-AUDIO-2024-05-08-10-20-20.opus>
‎[5/8/24, 10:21:23] investklimat: ‎<прикреплено: 00006692-AUDIO-2024-05-08-10-21-22.opus>
‎[5/8/24, 10:24:44] Хабиб Вентиляция : ‎<прикреплено: 00006693-AUDIO-2024-05-08-10-24-44.opus>
‎[5/8/24, 10:25:37] investklimat: ‎<прикреплено: 00006694-AUDIO-2024-05-08-10-25-36.opus>
[5/8/24, 10:27:09] investklimat: Не слышно
[5/8/24, 10:27:14] investklimat: Ветер
[5/8/24, 10:27:22] Хабиб Вентиляция : Кранавой не пришёл
[5/8/24, 10:27:48] Хабиб Вентиляция : Префератор тоже не нашёл
‎[5/8/24, 10:28:17] Хабиб Вентиляция : ‎<прикреплено: 00006699-AUDIO-2024-05-08-10-28-17.opus>
‎[5/8/24, 10:30:45] investklimat: ‎<прикреплено: 00006700-AUDIO-2024-05-08-10-30-44.opus>
[5/8/24, 10:31:11] investklimat: Минут 5 подожди говорит
[5/8/24, 10:34:56] investklimat: +7 (929) 876-43-45 Адагиши прораб
‎[5/8/24, 10:35:12] investklimat: ‎<прикреплено: 00006703-AUDIO-2024-05-08-10-35-11.opus>
[5/8/24, 10:39:39] Хабиб Вентиляция : Не доступен у него
‎[5/8/24, 10:42:56] investklimat: ‎<прикреплено: 00006705-AUDIO-2024-05-08-10-42-55.opus>
[5/8/24, 11:50:41] investklimat: Что получилось?
‎[5/8/24, 12:06:08] Хабиб Вентиляция : ‎<прикреплено: 00006707-PHOTO-2024-05-08-12-06-08.jpg>
‎[5/8/24, 12:06:08] Хабиб Вентиляция : ‎<прикреплено: 00006708-PHOTO-2024-05-08-12-06-08.jpg>
‎[5/8/24, 12:06:08] Хабиб Вентиляция : ‎<прикреплено: 00006709-PHOTO-2024-05-08-12-06-08.jpg>
‎[5/8/24, 12:06:09] Хабиб Вентиляция : ‎<прикреплено: 00006710-PHOTO-2024-05-08-12-06-09.jpg>
‎[5/8/24, 12:47:56] Хабиб Вентиляция : ‎<прикреплено: 00006711-PHOTO-2024-05-08-12-47-56.jpg>
‎[5/8/24, 12:48:55] investklimat: ‎<прикреплено: 00006712-AUDIO-2024-05-08-12-48-54.opus>
[5/8/24, 13:02:50] Хабиб Вентиляция : Нет
[5/8/24, 13:02:50] Хабиб Вентиляция : Расширить надо
‎[5/8/24, 13:09:21] Хабиб Вентиляция : ‎<прикреплено: 00006715-AUDIO-2024-05-08-13-09-21.opus>
‎[5/8/24, 13:11:07] investklimat: ‎<прикреплено: 00006716-AUDIO-2024-05-08-13-11-06.opus>
‎[5/8/24, 13:24:27] investklimat: Проект дымоудаление. ЖК. Аристократ.pdf • ‎6 страниц ‎<прикреплено: 00006719-Проект дымоудаление. ЖК. Аристократ.pdf>
[5/8/24, 13:24:38] investklimat: 700х400
[5/8/24, 13:26:37] investklimat: П1 система
[5/8/24, 13:29:26] investklimat: Проект смотрите
‎[5/8/24, 15:29:49] Хабиб Вентиляция : ‎<прикреплено: 00006723-PHOTO-2024-05-08-15-29-49.jpg>
‎[5/8/24, 15:32:21] investklimat: ‎<прикреплено: 00006725-PHOTO-2024-05-08-15-32-20.jpg>
‎[5/8/24, 15:33:58] investklimat: ‎<прикреплено: 00006726-AUDIO-2024-05-08-15-33-58.opus>
‎[5/8/24, 15:46:14] Хабиб Вентиляция : ‎<прикреплено: 00006727-PHOTO-2024-05-08-15-46-14.jpg>
‎[5/8/24, 15:47:16] Хабиб Вентиляция : ‎<прикреплено: 00006728-AUDIO-2024-05-08-15-47-16.opus>
‎[5/8/24, 15:51:00] investklimat: ‎<прикреплено: 00006729-AUDIO-2024-05-08-15-50-59.opus>
‎[5/8/24, 15:57:56] Хабиб Вентиляция : ‎<прикреплено: 00006730-PHOTO-2024-05-08-15-57-56.jpg>
[5/8/24, 15:59:00] investklimat: 👍
‎[5/8/24, 16:00:24] investklimat: ‎<прикреплено: 00006732-AUDIO-2024-05-08-16-00-23.opus>
‎[5/8/24, 16:01:42] Хабиб Вентиляция : ‎<прикреплено: 00006733-PHOTO-2024-05-08-16-01-42.jpg>
‎[5/8/24, 16:02:20] Хабиб Вентиляция : ‎<прикреплено: 00006734-AUDIO-2024-05-08-16-02-20.opus>
‎[5/8/24, 16:02:52] investklimat: ‎<прикреплено: 00006735-AUDIO-2024-05-08-16-02-51.opus>
‎[5/8/24, 18:46:29] Хабиб Вентиляция : ‎изображение отсутствует
‎[5/9/24, 12:12:10] Хабиб Вентиляция : ‎<прикреплено: 00006737-AUDIO-2024-05-09-12-12-10.opus>
[5/9/24, 12:20:30] investklimat: Ваалейкум Ассалам! С Днём Победы! Да, брат, сегодня никто не работает.
‎[5/10/24, 13:33:32] investklimat: ‎<прикреплено: 00006739-AUDIO-2024-05-10-13-33-31.opus>
[5/10/24, 13:34:09] Хабиб Вентиляция : Ва алайкум ассалам брат
[5/10/24, 13:34:20] Хабиб Вентиляция : Сегодня не поехали
[5/10/24, 13:34:27] Хабиб Вентиляция : На соболезнования остались
[5/10/24, 13:34:33] investklimat: Ок
‎[5/10/24, 20:27:45] Хабиб Вентиляция : Гамид Компьютерный клуб 4.3 2.pdf • ‎1 страница ‎<прикреплено: 00006744-Гамид Компьютерный клуб 4.3 2.pdf>
‎[5/10/24, 20:27:59] Хабиб Вентиляция : ‎<прикреплено: 00006745-AUDIO-2024-05-10-20-27-59.opus>
[5/10/24, 20:31:58] Хабиб Вентиляция : Завтра с утра выйдем
[5/10/24, 20:32:07] Хабиб Вентиляция : Добьем второй подъезд
[5/10/24, 20:32:17] investklimat: Ваалейкум ассалам
[5/10/24, 20:32:21] investklimat: курят?
[5/10/24, 20:43:13] investklimat: в компьютерном клубе курить будут, Хабиб?
